"","Title","Year","Length","Budget","LogBudget"
"1","'G' Men",1935,85,"450000",5.65321251377534
"2","'Manos' the Hands of Fate",1966,74,"19000",4.27875360095283
"3","'Til There Was You",1997,113,"23000000",7.36172783601759
"4",".com for Murder",2002,96,"5000000",6.69897000433602
"5","10 Things I Hate About You",1999,97,"16000000",7.20411998265593
"6","100 Mile Rule",2002,98,"1100000",6.04139268515823
"7","100 Proof",1997,94,"140000",5.14612803567824
"8","101",1989,117,"200000",5.30102999566398
"9","101-vy kilometer",2001,103,"200000",5.30102999566398
"10","102 Dalmatians",2000,100,"85000000",7.92941892571429
"11","11:14",2003,95,"6000000",6.77815125038364
"12","12 Angry Men",1957,96,"340000",5.53147891704226
"13","12 to the Moon",1960,74,"150000",5.17609125905568
"14","13 Going On 30",2004,98,"37000000",7.56820172406699
"15","13th Warrior, The",1999,102,"85000000",7.92941892571429
"16","1492: Conquest of Paradise",1992,154,"47000000",7.67209785793572
"17","15 Minutes",2001,120,"42000000",7.6232492903979
"18","1776",1972,180,"4000000",6.60205999132796
"19","1900",1976,245,"9000000",6.95424250943933
"20","1941",1979,146,"35000000",7.54406804435028
"21","2 Fast 2 Furious",2003,107,"76000000",7.88081359228079
"22","20 Dates",1998,87,"60000",4.77815125038364
"23","20,000 Leagues Under the Sea",1916,105,"200000",5.30102999566398
"24","200 Cigarettes",1999,101,"6000000",6.77815125038364
"25","200 Motels",1971,98,"679000",5.8318697742805
"26","20000 Leagues Under the Sea",1954,127,"5000000",6.69897000433602
"27","2001: A Space Odyssey",1968,156,"10500000",7.02118929906994
"28","2001: A Space Travesty",2000,99,"26000000",7.41497334797082
"29","2046",2004,129,"12000000",7.07918124604763
"30","21 Grams",2003,124,"20000000",7.30102999566398
"31","24 Hour Woman, The",1999,93,"2500000",6.39794000867204
"32","25 Watts",2001,92,"200000",5.30102999566398
"33","25th Hour",2002,135,"15000000",7.17609125905568
"34","28 Days",2000,103,"43000000",7.63346845557959
"35","28 Days Later...",2002,113,"8000000",6.90308998699194
"36","3 AM",2003,22,"32000",4.50514997831991
"37","3 Strikes",2000,82,"6000000",6.77815125038364
"38","3 Women",1977,124,"1500000",6.17609125905568
"39","3000 Miles to Graceland",2001,125,"62000000",7.79239168949825
"40","40 Days and 40 Nights",2002,96,"17000000",7.23044892137827
"41","42nd Street",1933,89,"439000",5.64246452024212
"42","5 Dark Souls",1996,94,"1500",3.17609125905568
"43","5 Dead on the Crimson Canvas",1996,96,"25000",4.39794000867204
"44","5,000 Fingers of Dr. T., The",1953,89,"1600000",6.20411998265593
"45","50 First Dates",2004,99,"75000000",7.8750612633917
"46","51st State, The",2001,92,"28000000",7.44715803134222
"47","54",1998,100,"13000000",7.11394335230684
"48","55 Days at Peking",1963,150,"17000000",7.23044892137827
"49","6th Day, The",2000,123,"82000000",7.91381385238372
"50","72 metra",2004,100,"1600000",6.20411998265593
"51","7th Voyage of Sinbad, The",1958,88,"650000",5.81291335664286
"52","8 Mile",2002,110,"41000000",7.61278385671974
"53","80's Ending",2003,9,"10000",4
"54","8MM",1999,123,"40000000",7.60205999132796
"55","90",2005,14,"4000",3.60205999132796
"56","9:30",2004,13,"12000",4.07918124604763
"57","A.N.I. 1240",2003,13,"8000",3.90308998699194
"58","ABCD",1999,105,"200000",5.30102999566398
"59","AVP: Alien Vs. Predator",2004,102,"45000000",7.65321251377534
"60","Abandon",2002,99,"25000000",7.39794000867204
"61","Abbott and Costello Go to Mars",1953,81,"754000",5.87737134586977
"62","Abbott and Costello Meet Captain Kidd",1952,75,"450000",5.65321251377534
"63","Abby",1974,89,"400000",5.60205999132796
"64","Abby Singer",2003,79,"1500",3.17609125905568
"65","Aberdeen",2000,106,"6500000",6.81291335664286
"66","Able Edwards",2004,87,"30000",4.47712125471966
"67","Able's House Is Green, The",2003,13,"6800",3.83250891270624
"68","About Schmidt",2002,125,"30000000",7.47712125471966
"69","About a Boy",2002,101,"27000000",7.43136376415899
"70","Abschied",1930,80,"15000",4.17609125905568
"71","Absolon",2003,96,"8000000",6.90308998699194
"72","Absolute Power",1997,121,"50000000",7.69897000433602
"73","Absolution",2001,23,"13000",4.11394335230684
"74","Abyss, The",1989,171,"69500000",7.84198480459011
"75","Accident",1967,105,"600000",5.77815125038364
"76","Accountant, The",1999,50,"5000",3.69897000433602
"77","Ace Ventura: Pet Detective",1994,86,"12000000",7.07918124604763
"78","Ace Ventura: When Nature Calls",1995,90,"30000000",7.47712125471966
"79","Ace in the Hole",1951,111,"1821052",6.26032234721756
"80","Across the Wide Missouri",1951,78,"5000000",6.69897000433602
"81","Across to Singapore",1928,86,"290000",5.46239799789896
"82","Actors Anonymous: The Truth Behind the Dream",2003,60,"30000",4.47712125471966
"83","Acts of Betrayal",1997,90,"3000000",6.47712125471966
"84","Adam Had Four Sons",1941,81,"488000",5.68841982200271
"85","Adaptation.",2002,114,"19000000",7.27875360095283
"86","Addams Family, The",1991,99,"38000000",7.57978359661681
"87","Adventure",1945,135,"3500000",6.54406804435028
"88","Adventure's End",1937,60,"90000",4.95424250943933
"89","Adventures of Baron Munchausen, The",1988,125,"46630000",7.66866541545449
"90","Adventures of Bob & Doug McKenzie: Strange Brew, The",1983,90,"4000000",6.60205999132796
"91","Adventures of Elmo in Grouchland, The",1999,89,"17000000",7.23044892137827
"92","Adventures of Huck Finn, The",1993,108,"6500000",6.81291335664286
"93","Adventures of Lucky Pierre, The",1961,70,"7100",3.85125834871908
"94","Adventures of Marco Polo, The",1938,100,"2000000",6.30102999566398
"95","Adventures of Pinocchio, The",1996,92,"25000000",7.39794000867204
"96","Adventures of Pluto Nash, The",2002,95,"100000000",8
"97","Adventures of Robin Hood, The",1938,102,"1900000",6.27875360095283
"98","Adventures of Rocky & Bullwinkle, The",2000,88,"76000000",7.88081359228079
"99","Affairs of Cellini, The",1934,80,"549370",5.73986493977659
"100","Affairs with Bears",2002,27,"7000",3.84509804001426
"101","Affliction",1997,114,"6000000",6.77815125038364
"102","After Hours",1985,96,"4500000",6.65321251377534
"103","After Image",2001,92,"1200000",6.07918124604763
"104","After Midnight",1989,90,"3000000",6.47712125471966
"105","After Sex",2000,96,"5000000",6.69897000433602
"106","After the Sunset",2004,97,"58000000",7.76342799356294
"107","Afterschool Delight",2003,10,"5000",3.69897000433602
"108","Age of Innocence",1977,101,"850000",5.92941892571429
"109","Age of Innocence, The",1993,139,"34000000",7.53147891704226
"110","Agent Cody Banks",2003,102,"26000000",7.41497334797082
"111","Agent Cody Banks 2: Destination London",2004,100,"26000000",7.41497334797082
"112","Agent on Ice",1985,96,"2500000",6.39794000867204
"113","Aida degli alberi",2001,75,"7000000",6.84509804001426
"114","Aimee Semple McPherson",2004,112,"500000",5.69897000433602
"115","Air Bud",1997,98,"3000000",6.47712125471966
"116","Air Force One",1997,124,"85000000",7.92941892571429
"117","Air Marshal",2003,90,"500000",5.69897000433602
"118","Airborne",1993,91,"2600000",6.41497334797082
"119","Airmail",1932,84,"305000",5.48429983934679
"120","Airplane!",1980,88,"3500000",6.54406804435028
"121","Airport",1970,137,"10000000",7
"122","Airport 1975",1974,107,"3000000",6.47712125471966
"123","Akasha",2001,82,"1500",3.17609125905568
"124","Akumulator 1",1994,102,"2000000",6.30102999566398
"125","Aladdin",1992,90,"28000000",7.44715803134222
"126","Alamo, The",1960,192,"12000000",7.07918124604763
"127","Alamo, The",2004,137,"95000000",7.97772360528885
"128","Alan Smithee Film: Burn Hollywood Burn, An",1997,86,"10000000",7
"129","Albino Alligator",1996,97,"5000000",6.69897000433602
"130","Alex's Apartment",1992,80,"45000",4.65321251377534
"131","Alexander",2004,175,"150000000",8.17609125905568
"132","Alexander's Ragtime Band",1938,106,"2000000",6.30102999566398
"133","Alferd Packer: The Musical",1996,97,"125000",5.09691001300806
"134","Alfie",1966,114,"800000",5.90308998699194
"135","Alfie",2004,103,"60000000",7.77815125038364
"136","Ali",2001,165,"107000000",8.02938377768521
"137","Alias",2002,98,"1500000",6.17609125905568
"138","Alice",1990,102,"12000000",7.07918124604763
"139","Alice Doesn't Live Here Anymore",1974,112,"85000",4.92941892571429
"140","Alice in Wonderland",1951,75,"3000000",6.47712125471966
"141","Alice's Adventures in Wonderland",1972,95,"2500000",6.39794000867204
"142","Alien",1979,116,"11000000",7.04139268515823
"143","Alien Abduction",2005,90,"600000",5.77815125038364
"144","Alien Dead",1980,69,"12000",4.07918124604763
"145","Alien Escape",1997,85,"1000000",6
"146","Alien Nation",1988,91,"16000000",7.20411998265593
"147","Alien: Resurrection",1997,116,"70000000",7.84509804001426
"148","Aliens",1986,154,"18500000",7.26717172840301
"149","Alive",1993,127,"32000000",7.50514997831991
"150","All About the Benjamins",2002,95,"14000000",7.14612803567824
"151","All Quiet on the Western Front",1930,147,"1200000",6.07918124604763
"152","All This, and Heaven Too",1940,141,"1370000",6.13672056715641
"153","All Through the Night",1942,107,"750000",5.8750612633917
"154","All the President's Men",1976,138,"8500000",6.92941892571429
"155","All the Pretty Horses",2000,116,"45000000",7.65321251377534
"156","All the Queen's Men",2001,105,"25000000",7.39794000867204
"157","All the Real Girls",2003,108,"1000000",6
"158","All the Stage Is a World",2005,89,"12000",4.07918124604763
"159","All the Vermeers in New York",1990,87,"250000",5.39794000867204
"160","Alligator",1980,89,"1000000",6
"161","Alligator II: The Mutation",1991,92,"3000000",6.47712125471966
"162","Almost Famous",2000,162,"60000000",7.77815125038364
"163","Almost You",1985,96,"1000000",6
"164","Aloha, Bobby and Rose",1975,85,"60000",4.77815125038364
"165","Alone in the Dark",2005,96,"20000000",7.30102999566398
"166","Along Came Polly",2004,90,"42000000",7.6232492903979
"167","Along Came a Spider",2001,104,"28000000",7.44715803134222
"168","Along for the Ride",2000,99,"150000",5.17609125905568
"169","Alpha Dead",2004,11,"5000",3.69897000433602
"170","Alpha Incident, The",1978,95,"200000",5.30102999566398
"171","Als je begrijpt wat ik bedoel",1983,84,"2000000",6.30102999566398
"172","Always",1989,106,"29500000",7.46982201597816
"173","Always Late",2004,6,"1000",3
"174","Amadeus",1984,180,"18000000",7.25527250510331
"175","Ame agaru",1999,91,"3800000",6.57978359661681
"176","America 3000",1986,84,"2000000",6.30102999566398
"177","America's Sweethearts",2001,102,"48000000",7.68124123737559
"178","American Beauty",1999,121,"15000000",7.17609125905568
"179","American Bickman Burger, The",2001,18,"100000",5
"180","American Boy: A Profile of: Steven Prince",1978,55,"155000",5.19033169817029
"181","American Desi",2001,100,"250000",5.39794000867204
"182","American Drive-In",1985,92,"10000000",7
